tweet_id,sentiment,tweet_text
1.2130114903720387e+18,neutral,"ልዩ የተፈጥሮ ገፅታ 
 *****

የምስራቅ አፍሪካ የውሃ ማማ ጮቄ"
1.2137642243564216e+18,neutral,"ብ/ጄ አሳምነው ጽጌ ከምክትል ጠ/ሚ ደመቀ ጋር በሱዳን ጉብኝት አልበሽር ያሉትን ለተመስገን እንደነገረው....

ኢትዮጵያ ለእኛ ጥሩ ጎረቤታችን ናት፤ ከህወሓት ጋር ግን ቤተሰብ ነን።"
1.2127239144948777e+18,neutral,"@EthioReporter The only part I like......""ትልልቅ የነዳጅ ፍጆታ ያላቸው ተሽከርካሪዎች ከአየር ብክለት አኳያ፣ በነዳጅ ወጪም ረገድ ተለይተው ኤክሳይዝ ታክሱ ሊ… https://t.co/vrCYIK3BI4"
1.20100735560704e+18,neutral,@Abione_Bekele 😄 እሺ ወንድሜ እተከላለሁ ማኛ እኮ ናት ወዳታለሁ በጣም ደሞ  ቅና አሉህ 😉
1.213183031638405e+18,neutral,@fitih11 ይቺን አውቆ ነው ዶ/ር አብይ ክርስቲያን የሆነዋ.......ኧረ ጀንፈሉ ይህ እንጣጥ እንጣጥ ዋዋዋ!
1.201438784782504e+18,neutral,"@DrSenait ሰው የፈለገውን የመሆን መብት ቢኖረውም መብቱ የሚወሰነው ግን በሚኖርበት ሀገር ውስጥ ህጉ ማኖር ሲችል ብቻ ነው።
ይህ ከመብት እና ከእኩልነት ጋር አይገናኝም፣ ከህግ ጋር እንጂ"
1.2122329544302633e+18,neutral,@bobomaheder Global citizenንነቴ እና ኢትዮጵያዊነቴ ተምታተውብኝ አያውቁም የሚል ይታከልበት 😉
1.2133004670040596e+18,neutral,"ለቅዳሚታችሁ

💚💛❤

        አሁን በምትሰሩት ማንኛውም ነገር ምሉእነትና እርካታ ይሰማችሁ!

የአሁንነት ሀይል -ለመንፈሳዊ የእውቀት ብርሃን መመሪያ በኤክሀርት ቶሌየተዘጋጀ መጽ… https://t.co/MW3jeJrF4u"
1.214248761905623e+18,neutral,@tesfamaryam21 40/60 ኮንዶሚኒየም ከሆነ እመልሳለሁ ካልሆነ መልሴን አላባክንም!
1.2123826702456422e+18,neutral,@Jeberara1 ስንታየሁም ሆነ ኤልያስ ፓርላማ ለመግባት ምን ያንሳቸዋል??? ደግሞ ሁለት ሰው ብቻ ይዞ ፓርቲ ይመሰረታል ያለህ ማነው? መቸም በእስክንድር ላይ በየምክኒያቱ ዱላ የማ… https://t.co/GYauJN7rRv
